Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
11/11/2017,Sài Gòn,72,Low tide,11,30,49,0.1,,2.196,0.069,5.36
6/26/2017,Sài Gòn,72,Low tide,6,28.3,59,0.33,,1.675,0.14,4.058
2/12/2017,Sài Gòn,72,Low tide,2,29.6,79,1.69,,0.322,0.013,3.54
9/12/2018,Sài Gòn,72,High tide,9,28.8,56,0.1,,0.36,0.03,6.886
9/12/2018,Sài Gòn,72,Low tide,9,28.8,108,0.11,,1.74,0.03,7.292
2/12/2017,Sài Gòn,72,High tide,2,30,76,2.72,,0.234,0.013,3.498
2/14/2018,Nhà Bè,46,Low tide,2,28.9,61,4.94,,0.16,0.01,4.205
5/15/2018,Nhà Bè,46,High tide,5,29.1,47,2.26,,0.08,0.02,3.743
9/12/2018,Nhà Bè,46,High tide,9,29.5,67,0.06,,0,0.05,3.876
1/15/2018,Nhà Bè,46,High tide,1,28.8,37,4.8,,0.05,0.03,3.792
5/15/2018,Nhà Bè,46,Low tide,5,29.7,224,1.87,,0.02,0.03,4.478
2/14/2018,Nhà Bè,46,High tide,2,28.8,61,4.65,,0.04,0.01,4.142
12/11/2018,Nhà Bè,46,High tide,12,29.5,37.5,,,0.05,0.04,4.156
3/16/2018,Nhà Bè,46,High tide,3,28.9,31,3.63,,0.09,0.03,4.485
12/11/2018,Nhà Bè,46,Low tide,12,28.5,83,,,0.07,0.22,3.918
4/15/2018,Nhà Bè,46,High tide,4,29.2,69,3.43,,0.09,0.03,3.75
1/15/2018,Nhà Bè,46,Low tide,1,29.8,153,3.32,,0,0.03,3.813
4/15/2018,Nhà Bè,46,Low tide,4,29.6,80,2.62,,0.03,0.04,4.282
10/12/2018,Nhà Bè,46,Low tide,10,28.8,108,4.78,,0.06,0.03,4.009
11/11/2018,Nhà Bè,46,Low tide,11,29.6,260,,,0.03,0.04,4.632
10/12/2018,Nhà Bè,46,High tide,10,29.7,68,2.79,,0.05,0.03,4.079
9/12/2018,Nhà Bè,46,Low tide,9,29.1,169,0.07,,0,0.06,3.743
3/16/2018,Nhà Bè,46,Low tide,3,29.1,145,4.27,,0.09,0.02,4.317
11/11/2018,Nhà Bè,46,High tide,11,29.4,58,,,0.03,0.05,5.325
1/2/2017,Vàm Sát,26,High tide,1,28.8,508,13.89,4.92,0,0.03,7.026
1/2/2017,Vàm Sát,26,Low tide,1,28.2,732,17,3.69,0.023,0.03,6.508
1/15/2017,Vàm Sát,26,High tide,1,29.6,600,10.02,4.37,0,0.003,3.036
1/15/2017,Vàm Sát,26,Low tide,1,28.7,414,16.19,4.12,0,0.001,3.554
2/12/2017,Vàm Sát,26,High tide,2,29.4,560,13.54,5.76,0.199,0.038,3.4
2/12/2017,Vàm Sát,26,Low tide,2,28.6,1206,13.82,6.67,0.214,0.045,3.498
2/26/2017,Vàm Sát,26,High tide,2,28.5,390,15.91,4.52,0.02,0.029,3.414
2/26/2017,Vàm Sát,26,Low tide,2,28.6,224,14.2,5.66,0.056,0.043,3.288
3/15/2017,Vàm Sát,26,High tide,3,28.6,332,12.25,4.59,0,0.029,3.568
3/15/2017,Vàm Sát,26,Low tide,3,28.7,141,16.17,3.93,0,0.041,3.274
3/27/2017,Vàm Sát,26,High tide,3,29.2,352,15.22,6.82,0.064,0.051,3.596
3/27/2017,Vàm Sát,26,Low tide,3,29.5,388,19.78,6.39,0.026,0.053,3.344
4/12/2017,Vàm Sát,26,High tide,4,29.3,476,12.25,4.98,0.122,0.048,3.848
4/12/2017,Vàm Sát,26,Low tide,4,28.9,122,8.85,4.72,0.035,0.04,3.54
4/28/2017,Vàm Sát,26,High tide,4,28.6,174,8.12,5.89,0.046,0.034,3.036
4/28/2017,Vàm Sát,26,Low tide,4,28.2,604,13.85,4.55,0.069,0.035,4.702
5/15/2017,Vàm Sát,26,High tide,5,28.5,178,3.92,5.73,0.077,0.042,3.876
5/15/2017,Vàm Sát,26,Low tide,5,29.2,88,5.82,5.89,0.054,0.086,3.792
5/29/2017,Vàm Sát,26,High tide,5,29.9,268,6.6,3.9,0.005,0.089,3.47
5/29/2017,Vàm Sát,26,Low tide,5,28.9,290,6.68,4.1,0.053,0.1,3.82
6/12/2017,Vàm Sát,26,High tide,6,29.9,94,7.74,6,0.113,0.088,3.988
6/12/2017,Vàm Sát,26,Low tide,6,29.3,238,5.73,6.85,0.023,0.049,3.652
6/26/2017,Vàm Sát,26,High tide,6,29.5,173,4.08,5.14,0.016,0.025,4.058
6/26/2017,Vàm Sát,26,Low tide,6,28.9,139,4.15,3.89,0.014,0.062,4.184
7/11/2017,Vàm Sát,26,High tide,7,29.9,21,4.97,6.45,0,0.029,3.974
7/11/2017,Vàm Sát,26,Low tide,7,29.8,46,10.48,3.76,0.015,0.045,3.596
7/25/2017,Vàm Sát,26,High tide,7,28.8,51,2.65,4.31,0,0.033,3.834
7/25/2017,Vàm Sát,26,Low tide,7,29.7,224,5.15,4.31,0,0.033,4.254
8/10/2017,Vàm Sát,26,High tide,8,28.1,15,2.08,3.41,0.029,0.022,3.792
8/10/2017,Vàm Sát,26,Low tide,8,28.8,43,3.93,3.63,0.024,0.018,3.834
8/24/2017,Vàm Sát,26,High tide,8,28.8,69,1.88,3.28,0.003,0.021,4.086
8/24/2017,Vàm Sát,26,Low tide,8,28,108,4.33,3.28,0.003,0.017,4.002
9/7/2017,Vàm Sát,26,High tide,9,28.7,46,2.21,4.18,0.016,0.031,4.324
9/7/2017,Vàm Sát,26,Low tide,9,29,102,6.19,3.66,0.023,0.029,4.282
9/22/2017,Vàm Sát,26,High tide,9,29.3,150,1.09,3.38,0.071,0.022,4.044
9/22/2017,Vàm Sát,26,Low tide,9,29.4,576,4.12,5.14,0.167,0.024,7.544
